E1_NO2;E1_NO;E1_O3;E1_CO;E2_Temperatura;E2_ScalarWindSpeed;Data
26,28;40,23;18,57;689,99;24,03;0,87;2010-01-01T00:30:00Z
28,21;40,06;20,67;537,03;23,96;1,30;2010-01-01T01:30:00Z
29,55;41,88;19,02;449,04;23,87;1,82;2010-01-01T02:30:00Z
29,59;42,22;19,78;413,66;23,45;1,72;2010-01-01T03:30:00Z
29,90;47,08;17,65;409,71;23,06;1,49;2010-01-01T04:30:00Z
21,66;32,20;22,36;422,61;23,29;1,65;2010-01-01T05:30:00Z
16,00;30,39;23,03;404,41;24,98;2,41;2010-01-01T06:30:00Z
14,94;28,43;26,09;360,58;26,62;3,12;2010-01-01T07:30:00Z
11,18;20,91;29,90;376,56;28,32;3,32;2010-01-01T08:30:00Z
11,36;21,65;33,02;466,35;29,40;2,88;2010-01-01T09:30:00Z
7,53;18,24;32,07;415,33;30,01;2,98;2010-01-01T10:30:00Z
6,19;15,87;30,61;431,68;29,93;3,22;2010-01-01T11:30:00Z
5,77;15,37;29,84;462,52;30,10;3,49;2010-01-01T12:30:00Z
6,15;16,05;31,25;497,81;29,99;3,22;2010-01-01T13:30:00Z
6,53;17,13;31,45;493,18;29,48;3,94;2010-01-01T14:30:00Z
6,03;14,89;30,58;430,53;29,39;3,54;2010-01-01T15:30:00Z
6,16;16,52;28,48;463,64;28,67;3,37;2010-01-01T16:30:00Z
7,58;19,47;27,27;541,57;27,31;2,79;2010-01-01T17:30:00Z
9,40;21,22;25,95;514,24;25,59;2,34;2010-01-01T18:30:00Z
11,66;19,75;25,61;444,03;25,14;2,09;2010-01-01T19:30:00Z
17,90;26,93;24,22;412,47;25,02;2,13;2010-01-01T20:30:00Z
14,62;21,61;24,52;469,52;24,70;1,60;2010-01-01T21:30:00Z
11,44;17,09;25,03;404,77;24,63;1,25;2010-01-01T22:30:00Z
8,16;12,23;27,10;344,11;24,51;1,02;2010-01-01T23:30:00Z
5,02;8,57;27,99;303,17;24,07;0,83;2010-01-02T00:30:00Z
4,96;8,39;27,67;289,56;24,42;1,19;2010-01-02T01:30:00Z
19,05;26,28;21,56;307,38;24,10;1,24;2010-01-02T02:30:00Z
18,18;25,95;20,67;326,04;23,43;0,76;2010-01-02T03:30:00Z
14,76;24,01;20,75;386,57;22,89;0,59;2010-01-02T04:30:00Z
16,77;28,04;20,65;459,08;23,43;0,61;2010-01-02T05:30:00Z
14,80;27,60;25,40;453,79;25,28;1,33;2010-01-02T06:30:00Z
13,19;26,55;30,65;448,92;27,48;2,39;2010-01-02T07:30:00Z
12,34;25,62;35,79;445,13;29,04;2,40;2010-01-02T08:30:00Z
15,25;29,08;37,44;524,66;30,43;2,18;2010-01-02T09:30:00Z
14,20;26,19;41,40;524,39;31,13;2,46;2010-01-02T10:30:00Z
11,58;24,91;38,74;481,91;31,20;2,60;2010-01-02T11:30:00Z
11,65;29,01;33,16;499,52;31,46;2,69;2010-01-02T12:30:00Z
10,83;24,16;33,62;569,62;31,28;3,12;2010-01-02T13:30:00Z
8,33;20,28;32,43;438,43;31,03;2,96;2010-01-02T14:30:00Z
7,89;19,56;31,54;432,95;30,34;2,86;2010-01-02T15:30:00Z
9,63;21,12;33,17;465,12;29,24;3,01;2010-01-02T16:30:00Z
10,79;24,63;30,83;577,31;27,53;2,53;2010-01-02T17:30:00Z
11,25;24,67;28,72;488,71;25,60;1,76;2010-01-02T18:30:00Z
18,24;28,90;24,29;520,17;25,05;1,34;2010-01-02T19:30:00Z
16,29;25,97;22,88;574,62;24,62;1,14;2010-01-02T20:30:00Z
18,19;29,07;21,43;549,82;24,16;0,79;2010-01-02T21:30:00Z
18,36;28,34;20,64;592,88;23,79;0,60;2010-01-02T22:30:00Z
14,13;21,07;22,47;475,69;23,82;0,49;2010-01-02T23:30:00Z
9,68;15,03;23,63;593,39;23,38;0,44;2010-01-03T00:30:00Z
7,33;10,79;24,58;314,50;23,79;0,55;2010-01-03T01:30:00Z
6,77;10,11;24,94;307,13;23,29;0,53;2010-01-03T02:30:00Z
12,85;19,28;20,17;347,08;22,38;0,48;2010-01-03T03:30:00Z
16,98;24,26;16,89;393,02;21,69;0,48;2010-01-03T04:30:00Z
17,51;34,56;16,16;515,35;21,27;0,39;2010-01-03T05:30:00Z
16,59;31,90;22,14;593,76;25,13;0,67;2010-01-03T06:30:00Z
9,22;17,52;26,89;384,11;28,25;1,53;2010-01-03T07:30:00Z
9,78;20,41;26,63;387,37;29,59;2,33;2010-01-03T08:30:00Z
9,75;20,22;29,43;432,43;31,22;2,12;2010-01-03T09:30:00Z
10,42;20,23;37,02;466,09;31,98;1,92;2010-01-03T10:30:00Z
8,96;19,75;35,44;443,45;32,58;2,27;2010-01-03T11:30:00Z
7,95;18,42;30,08;409,88;32,02;2,78;2010-01-03T12:30:00Z
6,53;16,17;29,69;414,15;31,50;2,91;2010-01-03T13:30:00Z
6,81;16,56;28,05;419,51;31,09;3,02;2010-01-03T14:30:00Z
8,66;19,69;31,51;451,07;31,13;2,46;2010-01-03T15:30:00Z
8,41;20,82;33,81;413,60;29,93;2,77;2010-01-03T16:30:00Z
10,45;25,83;27,69;577,89;28,43;2,58;2010-01-03T17:30:00Z
9,93;19,29;24,83;431,38;26,80;2,01;2010-01-03T18:30:00Z
10,13;18,59;23,10;469,38;26,24;1,50;2010-01-03T19:30:00Z
10,04;19,14;24,13;425,33;25,87;1,52;2010-01-03T20:30:00Z
19,33;31,42;21,14;446,78;25,63;1,60;2010-01-03T21:30:00Z
14,58;21,81;23,22;411,62;25,34;1,35;2010-01-03T22:30:00Z
7,76;12,84;24,84;329,00;25,21;1,26;2010-01-03T23:30:00Z
4,69;8,32;24,89;295,58;25,04;1,25;2010-01-04T00:30:00Z
4,80;8,36;23,84;300,78;24,73;1,28;2010-01-04T01:30:00Z
8,12;13,43;21,05;313,25;24,28;0,95;2010-01-04T02:30:00Z
9,47;16,10;20,23;341,24;23,80;0,92;2010-01-04T03:30:00Z
15,75;35,23;15,08;410,45;23,36;0,62;2010-01-04T04:30:00Z
23,10;62,05;14,13;782,45;23,17;0,61;2010-01-04T05:30:00Z
26,67;69,77;16,12;779,12;26,02;1,49;2010-01-04T06:30:00Z
18,54;40,36;21,51;564,66;28,20;2,31;2010-01-04T07:30:00Z
18,37;40,09;25,51;528,63;28,50;2,43;2010-01-04T08:30:00Z
14,84;30,27;28,64;489,83;30,68;2,50;2010-01-04T09:30:00Z
18,40;40,54;30,19;566,91;32,86;2,45;2010-01-04T10:30:00Z
17,62;36,61;38,37;511,59;33,43;2,38;2010-01-04T11:30:00Z
16,34;35,51;39,00;515,53;32,85;2,72;2010-01-04T12:30:00Z
14,41;33,00;34,10;506,39;31,70;3,00;2010-01-04T13:30:00Z
16,05;44,14;28,78;581,58;31,50;3,08;2010-01-04T14:30:00Z
19,43;48,78;27,70;599,07;30,93;2,98;2010-01-04T15:30:00Z
16,96;41,79;28,58;576,31;30,14;2,86;2010-01-04T16:30:00Z
17,99;39,42;25,85;595,00;28,70;2,49;2010-01-04T17:30:00Z
15,58;29,86;26,34;489,90;26,88;2,31;2010-01-04T18:30:00Z
13,91;24,94;29,80;450,94;26,26;2,43;2010-01-04T19:30:00Z
17,79;30,77;26,49;415,08;26,00;2,12;2010-01-04T20:30:00Z
29,25;48,93;16,88;421,23;25,77;2,10;2010-01-04T21:30:00Z
19,17;29,53;21,65;364,48;25,46;2,00;2010-01-04T22:30:00Z
16,20;24,57;21,65;340,18;25,17;1,95;2010-01-04T23:30:00Z
8,47;12,59;27,84;298,97;24,94;1,54;2010-01-05T00:30:00Z
5,84;9,40;29,96;282,23;24,70;1,54;2010-01-05T01:30:00Z
7,67;12,15;28,53;296,46;24,55;1,36;2010-01-05T02:30:00Z
7,24;12,35;28,59;303,99;24,03;1,07;2010-01-05T03:30:00Z
22,19;41,67;16,19;367,79;23,59;1,16;2010-01-05T04:30:00Z
29,27;74,84;13,64;658,95;23,47;1,07;2010-01-05T05:30:00Z
37,28;97,18;14,14;1184,17;24,75;1,14;2010-01-05T06:30:00Z
35,00;75,90;19,11;638,43;26,60;1,67;2010-01-05T07:30:00Z
22,05;43,66;28,96;510,74;29,54;2,56;2010-01-05T08:30:00Z
20,58;40,44;35,31;539,19;31,13;3,05;2010-01-05T09:30:00Z
18,22;34,81;38,46;490,68;32,46;3,08;2010-01-05T10:30:00Z
16,50;32,58;39,70;498,33;33,38;2,88;2010-01-05T11:30:00Z
16,82;39,26;41,19;606,30;32,78;2,96;2010-01-05T12:30:00Z
16,19;39,16;36,65;580,77;31,87;3,05;2010-01-05T13:30:00Z
13,85;35,36;34,74;518,93;31,37;3,70;2010-01-05T14:30:00Z
14,77;38,33;30,94;531,49;30,12;3,07;2010-01-05T15:30:00Z
14,96;39,78;31,44;586,42;29,89;2,99;2010-01-05T16:30:00Z
16,84;38,12;30,25;715,22;28,29;3,00;2010-01-05T17:30:00Z
14,61;28,45;30,62;577,22;26,49;2,99;2010-01-05T18:30:00Z
14,15;25,02;29,48;461,15;25,85;2,87;2010-01-05T19:30:00Z
29,93;51,10;17,86;503,99;25,64;2,18;2010-01-05T20:30:00Z
28,67;49,16;17,61;419,60;25,52;2,08;2010-01-05T21:30:00Z
19,51;30,34;21,87;395,74;25,39;2,22;2010-01-05T22:30:00Z
16,99;25,37;23,03;342,62;25,30;1,79;2010-01-05T23:30:00Z
10,24;14,96;30,36;293,74;25,11;1,63;2010-01-06T00:30:00Z
9,84;14,34;29,41;302,58;25,26;2,23;2010-01-06T01:30:00Z
14,18;21,11;24,15;300,51;25,08;1,65;2010-01-06T02:30:00Z
22,40;33,59;20,74;318,85;24,66;1,36;2010-01-06T03:30:00Z
26,96;46,93;18,63;350,93;24,66;1,88;2010-01-06T04:30:00Z
33,14;70,77;17,12;529,29;24,73;1,31;2010-01-06T05:30:00Z
31,37;69,71;19,20;709,63;26,38;1,69;2010-01-06T06:30:00Z
26,78;56,86;22,31;662,70;28,05;2,13;2010-01-06T07:30:00Z
18,78;39,52;25,74;564,07;29,35;2,58;2010-01-06T08:30:00Z
24,68;51,05;25,42;517,58;29,49;2,75;2010-01-06T09:30:00Z
18,26;36,77;30,88;493,29;31,62;2,88;2010-01-06T10:30:00Z
16,89;33,93;34,11;544,70;32,39;3,17;2010-01-06T11:30:00Z
17,08;40,07;30,81;650,01;32,69;3,20;2010-01-06T12:30:00Z
16,95;45,14;27,48;597,35;31,06;3,41;2010-01-06T13:30:00Z
15,61;40,50;28,35;597,93;30,37;3,28;2010-01-06T14:30:00Z
16,18;38,96;28,72;498,98;28,92;3,32;2010-01-06T15:30:00Z
19,52;47,77;25,31;591,46;28,03;2,74;2010-01-06T16:30:00Z
17,76;39,65;24,95;652,44;27,27;2,83;2010-01-06T17:30:00Z
19,34;34,88;23,52;579,49;26,35;2,79;2010-01-06T18:30:00Z
36,42;64,96;16,74;560,40;26,20;2,19;2010-01-06T19:30:00Z
33,24;59,21;16,82;499,86;26,33;2,13;2010-01-06T20:30:00Z
26,87;43,97;19,08;464,36;26,28;2,35;2010-01-06T21:30:00Z
28,91;44,55;18,88;388,90;25,78;1,60;2010-01-06T22:30:00Z
23,16;34,39;20,38;371,81;25,22;1,67;2010-01-06T23:30:00Z
22,27;31,34;21,26;367,00;24,93;1,67;2010-01-07T00:30:00Z
26,35;40,90;17,74;309,14;24,34;0,68;2010-01-07T01:30:00Z
25,15;36,46;19,70;319,84;23,22;0,53;2010-01-07T02:30:00Z
