"weeksábado" "weeksexta" "weekterça" "no2_11" "weeksábado:no_7" "weeksábado:no_9" "weeksegunda:no_9" "weekquarta:no_10" "weekterça:no_10" "weekquarta:no_11" "weekquinta:no_11" "weekquinta:no_12" "weeksegunda:no_12" "weekquinta:no_13" "weeksábado:no_13" "weeksegunda:no_13" "weekterça:no_13" "weekquinta:no2_7" "weekquarta:no2_8" "weeksegunda:no2_8" "weekquinta:no2_9" "weekterça:no2_9" "weekquinta:no2_10" "weeksegunda:no2_10" "weekquarta:no2_11" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksegunda:no2_13" "weeksábado:CO_7" "weekquarta:CO_8" "weekquinta:CO_8" "weeksábado:CO_8" "weeksábado:CO_9" "weeksegunda:CO_9" "weeksexta:CO_9" "weekterça:CO_9" "weekquinta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weeksegunda:CO_11" "weeksábado:CO_12" "weeksegunda:CO_12" "weekquarta:CO_13" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "seasonFall" "seasonSpring" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonWinter:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter" "ONI:seasonSpring"
0 1 0 -1.58984464749853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.280956866384235 0 0 0 0.0360855175367218 0 0 0 0 0 0 0 0.392296357339518 0 0 0 0 0 0 0 0 0 0 0
1 0 0 -1.02701364561177 -0.571563396911596 -0.398621746626779 0 0 0 0 0 0 0 0 -0.371202470478456 0 0 0 0 0 0 0 0 0 0 -1.02701364561177 0 -0.915895342192317 0 0 -0.520855904784861 0 0 -0.110095306697138 0.651003857816583 0 0 0 0 0.792625066093401 0 0 0 0.490501231293811 0 0 0 0.763456714020462 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.30059754634337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.396308775222886 0 0 -0.2376458338356 0 0 0 0 0 0.0882725545817235 0 0 0.0201699363017839 0 0 0 -0.526397770038383 0 0 0 -0.368471269951583 0 0 -0.396308775222886 0 0 -0.595220997180501 0 0 0 0 0 0.42996567034293 0 0 0 0 0 0 0.653403359366789 0 0.581268993677428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 -0.513260671718838 0 0 0 0 -0.0943351411575247 0 0 0 0 0 0 0 0.345940872993146 0 0 0 0 -0.164024566912113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.74321416111811 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.472536350617569 0 0 0 0.0816390438590162 0 -0.0661248192670953 0 0 0 0 0 0 0 0 -0.48192889042588 0 0 0 0 0 -0.472536350617569 0 0 0 -0.358704165013558 0 0 0.559480203908224 0 0 0 0 0 0 0 0 0 0.86827279387726 0 0 0 0.906783224127168 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.676157956123913 0 0 0 0 0 0 0.158414571448723 0.280549602537763 0 0.451797790636563 0 0 0 0.444472841216747 0 0 0.0656801607653557 0 0.622865007907152 0 0 0 0 0 0 0 0 0 0.461301316192086 0 0 0 0 0 1.45024425922721 0 0 0 0 0 0 0 0.548234359860951 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0 -0.12794594129914 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.617686301565171 0 0 0 1.28070614656698 0 0 0 0 0 0 0 1.31340048161345 0 0 0 0 0 0 0 0 0 0 0
1 0 0 -0.789977212535152 -0.334729990128328 0.0812300188908748 0 0 0 0 0 0 0 0 -0.275782150349178 0 0 0 0 0 0 0 0 0 0 -0.789977212535152 0 -0.976614097214934 0 0 -0.295301471717109 0 0 -0.0972599933947986 0.590651484492596 0 0 0 0 0.664708421353028 0 0 0 0.285664300942776 0 0 0 0.718799626125693 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.42485893637032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
