"weeksábado" "weekterça" "no2_11" "weeksábado:no_7" "weeksegunda:no_9" "weeksegunda:no_10" "weekquarta:no_11" "weeksábado:no_13" "weeksegunda:no_13" "weeksábado:no2_8" "weekquinta:no2_9" "weeksegunda:no2_10" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksábado:CO_7" "weeksexta:CO_7" "weekquinta:CO_8" "weeksábado:CO_8" "weekquarta:CO_9" "weeksegunda:CO_9" "weekterça:CO_9" "weekquarta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weekquinta:CO_11" "weekterça:CO_11" "weeksegunda:CO_12" "weekterça:CO_12" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "weekterça:CO_13" "seasonFall" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
0 0 -1.58984464749853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.847503095230848 0 0 0 0 0 0 0 0.0360855175367218 0 0 0 0 0 0 0 0.392296357339518 0 0 0 0 0 0 0 0 0
1 0 -1.02701364561177 -0.571563396911596 0 0 0 -0.371202470478456 0 -1.18041568238812 0 0 -1.02701364561177 0 -0.915895342192317 0 -0.520855904784861 0 0 -0.110095306697138 0 0 0 0 0.792625066093401 0 0 0 0 0 0 0 0.763456714020462 0 0 0 0 0 0 0 0 0 0
0 0 -1.30059754634337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.396308775222886 0 -0.2376458338356 0.412396805225185 0 0 0.0201699363017839 0 0 -0.368471269951583 0 -0.396308775222886 0 0 0 0 0 0 0 0.42996567034293 0 0 0 0 0 0 0 0.581268993677428 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 -0.513260671718838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.74321416111811 0 0 0 0 0 0.56735175255287 0 1.09588422113282 0 0 0 0.821087099440216 0 0 0 0 0 0 0 0
0 0 -0.472536350617569 0 0 0 -0.0661248192670953 0 0 0 0 0 0 0 0 -0.358704165013558 0 0 0 0 0.606072753386108 0 0 0.57688712404212 0 0 0.86827279387726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.676157956123913 0 0 0 0 0 0 0 0.0656801607653557 0 0 0 0 0 0 0 0.461301316192086 0 0 0 0 0 0 0 0 1.1679608182111 0 0 0 0.548234359860951 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.12794594129914 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0795457148400062 0 0 0 0 0 0 0 1.28070614656698 0 0 0 0 0 0 0 1.31340048161345 0 0 0 0 0 0 0 0 0
1 0 -0.789977212535152 -0.334729990128328 0 0 0 -0.275782150349178 0 -0.894079481956396 0 0 -0.789977212535152 0 -0.976614097214934 0 -0.295301471717109 0 0 -0.0972599933947986 0 0 0 0 0.664708421353028 0 0 0 0 0 0 0 0.718799626125693 0 0 0 0 0 0 0 0 0 0
0 0 -1.42485893637032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.47358056397914 0 0.0115079674908739 0.436351406326913 0 0 0.505471720709281 0 0 -0.366197562892274 0 -0.47358056397914 0 0 0 0 0 0 0 0.363013247780569 0 0 0 0 0 0 0 0.813659410923178 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 -0.538321792396541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.259506706359516 0 0 0 0 0 0.778587031722783 0 1.22429707672239 0 0 0 0.924046496530933 0 0 0 0 0 0 0 0
0 0 -0.61037251434494 0 0 0 0.263667410846764 0 0 0 0 0 0 0 0 -0.582184636352402 0 0 0 0 0.821653207835719 0 0 1.82726538946795 0 0 1.59601240082393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.795198279343006 0 0 0 0 0 0 0 -0.0740371478219705 0 0 0 0 0 0 0 0.123642503966513 0 0 0 0 0 0 0 0 0.631533531692362 0 0 0 0.267680340077611 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.863072147845121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.265942419281733 0 0 0 0 0 0 0 0.762865716530701 0 0 0 0 0 0 0 -0.0516901993920383 0 0 0 0 0 0 0 0 0
