"weeksábado" "weekterça" "no2_11" "weeksábado:no_7" "weeksegunda:no_9" "weeksegunda:no_10" "weekquarta:no_11" "weeksábado:no_13" "weeksegunda:no_13" "weeksábado:no2_8" "weekquinta:no2_9" "weeksegunda:no2_10" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksábado:CO_7" "weeksexta:CO_7" "weekquinta:CO_8" "weeksábado:CO_8" "weekquarta:CO_9" "weeksegunda:CO_9" "weekterça:CO_9" "weekquarta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weekquinta:CO_11" "weekterça:CO_11" "weeksegunda:CO_12" "weekterça:CO_12" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "weekterça:CO_13" "seasonFall" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.980709834686852 0 0 0 0 0 0 0 -0.482889594848292 0 0 0 0 0 0 0 0.129906094365507 0 0 0 0 0 0 0 0 0
1 0 0.24783456064853 -0.192661334555045 0 0 0 -0.0493384954221666 0 0.0221691113141187 0 0 0.24783456064853 0 0.256268279039089 0 -0.117725222276976 0 0 0.454354374464148 0 0 0 0 1.32719056448727 0 0 0 0 0 0 0 -0.132279486351652 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 -0.0683290635760459 -0.0527014858776145 0 0 -0.0493384954221666 0 0 0.114245088307253 0 0.24783456064853 0 0 0 0 0 0 0 2.33706926248315 0 0 0 0 0 0 0 0.207516184832782 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.47340802111486 0 0 0 0 0 -0.340667418314429 0 4.00950359247796 0 0 0 1.23644254732778 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 -0.0191073964814389 0 0 0 0 0 0 0 0 0.212810798322569 0 0 0 0 -1.25859537865892 0 0 8.76972626135947 0 0 6.68017083935144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0.0810033783897143 0 0 0 0 0 0 0 -0.0312193103501634 0 0 0 0 0 0 0 0 -0.0608823407782146 0 0 0 -0.0168900021922048 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.325402079701207 0 0 0 0 0 0 0 0.0867799378509504 0 0 0 0 0 0 0 0.294989585484234 0 0 0 0 0 0 0 0 0
1 0 0.24783456064853 -0.192661334555045 0 0 0 -0.0493384954221666 0 0.0221691113141187 0 0 0.24783456064853 0 0.256268279039089 0 -0.664666636555506 0 0 -0.285709363972829 0 0 0 0 0.937723352713854 0 0 0 0 0 0 0 -0.461353200436001 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 -0.0683290635760459 -0.0527014858776145 0 0 -0.0493384954221666 0 0 0.114245088307253 0 0.24783456064853 0 0 0 0 0 0 0 -0.0429551514051819 0 0 0 0 0 0 0 0.26102166157216 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.329452018718301 0 0 0 0 0 1.19322847307 0 2.32272545555972 0 0 0 0.716543846519802 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 -0.0191073964814389 0 0 0 0 0 0 0 0 0.212810798322569 0 0 0 0 0.875115284476294 0 0 1.00591968015405 0 0 1.40505388573625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0.0810033783897143 0 0 0 0 0 0 0 0.771436883576508 0 0 0 0 0 0 0 0 -0.0417279151647772 0 0 0 0.111668393811451 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0206407181607516 0 0 0 0 0 0 0 0.297411632729519 0 0 0 0 0 0 0 0.333999380947268 0 0 0 0 0 0 0 0 0
1 0 0.24783456064853 -0.192661334555045 0 0 0 -0.0493384954221666 0 0.0221691113141187 0 0 0.24783456064853 0 0.256268279039089 0 -0.105178605799215 0 0 0.635206245157761 0 0 0 0 0.673210804193194 0 0 0 0 0 0 0 0.274863512665725 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 -0.0683290635760459 -0.0527014858776145 0 0 -0.0493384954221666 0 0 0.114245088307253 0 0.24783456064853 0 0 0 0 0 0 0 -0.399077850290291 0 0 0 0 0 0 0 0.695262593785852 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0764139556982361 0 0 0 0 0 0.174604421175221 0 0.326478723601824 0 0 0 0.142478678126205 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 -0.0191073964814389 0 0 0 0 0 0 0 0 0.212810798322569 0 0 0 0 2.29844925965553 0 0 2.84981025499266 0 0 0.904903961204574 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0.0810033783897143 0 0 0 0 0 0 0 0.489507840362421 0 0 0 0 0 0 0 0 0.71757012060752 0 0 0 0.306170737050072 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.990171367426617 0 0 0 0 0 0 0 0.46516884326805 0 0 0 0 0 0 0 0.869651081961342 0 0 0 0 0 0 0 0 0
1 0 0.24783456064853 -0.192661334555045 0 0 0 -0.0493384954221666 0 0.0221691113141187 0 0 0.24783456064853 0 0.256268279039089 0 -0.434173149972121 0 0 -0.815027636027137 0 0 0 0 -1.20808703886156 0 0 0 0 0 0 0 -0.820591176744633 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 -0.0683290635760459 -0.0527014858776145 0 0 -0.0493384954221666 0 0 0.114245088307253 0 0.24783456064853 0 0 0 0 0 0 0 0.739695780881779 0 0 0 0 0 0 0 0.400135694415616 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.739695780881779 0 0 0 0 0 0.407374947090119 0 0.400135694415616 0 0 0 0.387281109587434 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 -0.0191073964814389 0 0 0 0 0 0 0 0 0.212810798322569 0 0 0 0 0.739695780881779 0 0 0.510143620886704 0 0 0.407374947090119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0.0810033783897143 0 0 0 0 0 0 0 0.587446296205635 0 0 0 0 0 0 0 0 0.407374947090119 0 0 0 0.387281109587434 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.219362933985936 0 0 0 0 0 0 0 0.688101774425387 0 0 0 0 0 0 0 -0.143609719938368 0 0 0 0 0 0 0 0 0
1 0 0.24783456064853 -0.192661334555045 0 0 0 -0.0493384954221666 0 0.0221691113141187 0 0 0.24783456064853 0 0.256268279039089 0 -0.554428421615823 0 0 -0.420800363846245 0 0 0 0 -0.461164604461227 0 0 0 0 0 0 0 -0.38765698811539 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
